MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL02,23883010,S80003,SONY TAIWAN LIMITED,INJITIOP,503477001,DIFFUSER PLATE (EPH L),RC1S1,1,126,1,126,0,126,SV-41112(VN3)/KD-55X80L/AF1,1,126
BTV,FGL02,23883010,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504473011,STAND L (L EPH2) A,RC1S1,1,126,1,126,0,126,SV-41112(VN3)/KD-55X80L/AF1,1,126
BTV,FGL02,23880005,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504473011,STAND L (L EPH2) A,RC1S1,1,177,1,177,0,177,SV-41112(VN3)/KD-55X80L/TH8,1,177
BTV,FGL02,23880005,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,504799601,"CARTON, INDIVIDUAL (L EPH2)",RC1S1,1,177,1,177,0,177,SV-41112(VN3)/KD-55X80L/TH8,1,177
BTV,FGL02,23880005,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101714111,LIQUID CRYSTAL ELEMENT(B55QUB),RCGS1,1,177,1,177,0,177,SV-41112(VN3)/KD-55X80L/TH8,1,177
BTV,FGL02,23859010,080012,AUREUMAEX PRECISION PLASTICS M,INJIT,502459014,REAR COVER ASSY (L LYX),RC1S1,1,408,1,408,0,408,SV-41186(TW6)/KM-55X80L/TW6,1,408
BTV,FGL02,23859010,080106,ZHAORI PACKAGING INDUSTRIES M,OUTJIT,503357601,CUSHION LOWER (L EPH),RC1S1,1,408,1,408,0,408,SV-41186(TW6)/KM-55X80L/TW6,1,408
BTV,FGL02,22441033,005101,RYOKA (MALAYSIA) SDN BHD,INJIT,503337611,BEZEL TP ASSY (L EPH),RC1S1,1,404,1,404,0,404,SV-40039(VN3)/KD-55X80K/UAF1,1,404
BTV,FGL02,22441033,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,503838401,"CARTON, INDIVIDUAL (L EPH)",RC1S1,1,404,1,404,0,404,SV-40039(VN3)/KD-55X80K/UAF1,1,404
BTV,FGL02,22440032,PR0162,KEIN HING INDUSTRY SDN BHD,INJIT,503339013,BACK CHASSIS ASSY (L EPH),RC1S1,1,168,1,168,0,168,SV-40039(VN3)/KD-55X80K/AF1,1,168
BTV,FGL02,22440032,PA1257,INABATA MALAYSIA SDN BHD,INJITIOP,503477811,MOP SHEET (EPH L),RC1S1,1,168,1,168,0,168,SV-40039(VN3)/KD-55X80K/AF1,1,168
BTV,FGL02,22440032,080106,ZHAORI PACKAGING INDUSTRIES M,OUTJIT,502419401,CUSHION SIDE (L RIS),RC1S1,1,168,2,336,0,336,SV-40039(VN3)/KD-55X80K/AF1,1,168
BTV,FGL02,22440032,080106,ZHAORI PACKAGING INDUSTRIES M,OUTJIT,503357601,CUSHION LOWER (L EPH),RC1S1,1,168,1,168,0,168,SV-40039(VN3)/KD-55X80K/AF1,1,168
BTV,FGL02,22406102,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,503838401,"CARTON, INDIVIDUAL (L EPH)",RC1S1,1,797,1,797,578,219,SV-40039(VN3)/KD-55X80K/VN3,1,797
BTV,FGL02,22406102,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101410611,LIQUID CRYSTAL ELEMENT(B550QUB,RCGS1,1,797,1,797,424,373,SV-40039(VN3)/KD-55X80K/VN3,1,797
BTV,FGL03,24630001,S80003,SONY TAIWAN LIMITED,INJITIOP,504447001,DIFFUSER PLATE (EPH 2L),RC1S1,1,30,1,30,0,30,SV-41498(CEI)/FW-65BZ40L/CEI,1,30
