Title,TV Manual Pull Card,,,,,,,,,,,,,,,,
Mrp Whs Grp,Ws Cd,Joc Cd,Vendor Cd,Vendor Name,Disb Charge Cd,Item No,Item Desc,Whs Cd,Std Pack,Plan Lot Size,Usage,Plan Lot Usage Qty,Completed Qty,Open Qty,Parent Item Desc,Start ECN Accum Qty,End ECN Accum Qty
MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL03,24192014,PA1043,WISTRON NEWEB CORPORATION,BRD,100541913,WLAN/BT MODULE(11AC),RC1B6,1,677,1,677,0,677,SV-41132(VN3)/XR-65X90L/AZ1,1,677
BTV,FGL03,24192014,000602,CHIYODA INTEGRE CO.(M) SDN BHD,INJITIOP,504585601,REFLECTIVE SHEET (CBN 2L),RC1S1,1,677,1,677,0,677,SV-41132(VN3)/XR-65X90L/AZ1,1,677
BTV,FGL03,24192014,PA1092,CHINA STAR OPTOELEC INTL HK,ITCOCELL,101715511,LIQUID CRYSTAL ELEMENT(C65D07),RCGS1,1,677,1,677,0,677,SV-41132(VN3)/XR-65X90L/AZ1,1,677
BTV,FGL03,24182004,080006,ORNAPAPER INDUSTRY (M) SDN BHD,OUTJITC,504545101,"CELL, PROTECTOR (2L CBN)",RC1S1,1,47,1,47,0,47,SV-41132(VN3)/XR-65X90L/MY1,1,47
BTV,FGL03,24181003,005753,TKR PRECISION (M) SDN BHD,SB,504485901,"SHIELD, T-CON L (COM 2)",RC1B3,1,161,1,161,0,161,SV-41132(VN3)/XR-65X90L/TH8,1,161
BTV,FGL03,24181003,507800,SONY CORPORATION,INJITILS,A5056057A,SPRO MODULE 23LS65_A,RC1S3,1,161,20,3220,0,3220,SV-41132(VN3)/XR-65X90L/TH8,1,161
BTV,FGL03,24174010,003647,MEGA SQUARE SDN BHD,SP,101752611,CONNECTOR ASSY 28P,RC1B1,1,95,1,95,0,95,SV-41132(VN3)/XR-65X90L/VN3,1,95
BTV,FGL03,24174010,080026,ENTRUST PRECISION (M) SDN BHD,ACC,504666601,VESA SPACER A (COM2),RC1B2,1,95,1,95,0,95,SV-41132(VN3)/XR-65X90L/VN3,1,95
BTV,FGL03,23865006,080026,ENTRUST PRECISION (M) SDN BHD,SP,501552101,+PSW M6*16 W14,RC1B1,1,184,4,736,0,736,SV-41111(VN3)/KD-65X80L/MY1,1,184
BTV,FGL03,23865006,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504473111,STAND R (L EPH2) A,RC1S1,1,184,1,184,0,184,SV-41111(VN3)/KD-65X80L/MY1,1,184
